det_segment,customer,canibalizador,canibalizado
AGUA MINERAL,5090633347,True,True
AGUA MINERAL,5090041087,True,True
AGUA MINERAL,4987711477,True,True
AGUA MINERAL,4987710617,True,True
AGUA MINERAL,4987577027,True,False
AGUA MINERAL,4987566257,True,True
AGUA MINERAL,5088015907,True,False
AGUA MINERAL,5088015887,True,True
AGUA MINERAL,5089321867,True,True
AGUA MINERAL,4987942967,True,True
AGUA MINERAL,4987704647,True,True
AGUA MINERAL,5088022237,True,True
AGUA MINERAL,4987740097,False,True
AGUA MINERAL,4987725277,True,True
AGUA MINERAL,5088021297,True,True
AGUA MINERAL,5088021287,True,True
AGUA MINERAL,4987718707,True,True
AGUA MINERAL,5090901317,True,True
AGUA MINERAL,5088076707,False,True
AGUA MINERAL,5087979297,True,True
AGUA MINERAL,5087976777,True,True
AGUA MINERAL,4987601627,True,True
AGUA MINERAL,4987590307,True,True
AGUA MINERAL,5090280157,True,True
AGUA MINERAL,4987769207,False,True
AGUA MINERAL,4987753957,True,True
AGUA MINERAL,4987712537,True,True
AGUA MINERAL,5087992427,True,True
AGUA MINERAL,4987692197,True,True
AGUA MINERAL,5088105127,True,True
AGUA MINERAL,4987848857,True,True
AGUA MINERAL,5090677557,True,True
AGUA MINERAL,5090615287,True,True
AGUA MINERAL,4987873047,True,True
AGUA MINERAL,4987870607,True,True
AGUA MINERAL,4987602577,True,True
AGUA MINERAL,5091364297,True,True
AGUA MINERAL,5090280597,True,True
AGUA MINERAL,4991615937,True,False
AGUA MINERAL,4987734567,True,True
AGUA MINERAL,4987728157,True,True
AGUA MINERAL,4987725497,True,True
AGUA MINERAL,4987637687,True,True
AGUA MINERAL,4987575957,True,True
AGUA MINERAL,4987570647,True,True
AGUA MINERAL,5091589367,True,True
AGUA MINERAL,5089878427,False,True
AGUA MINERAL,5088020907,True,True
AGUA MINERAL,4991640047,True,True
AGUA MINERAL,4987731197,True,True
AGUA MINERAL,4987573087,True,True
AGUA MINERAL,5089567817,True,True
AGUA MINERAL,4987688637,True,True
AGUA MINERAL,5088020247,True,True
AGUA MINERAL,5090425387,True,True
AGUA MINERAL,4987953067,False,True
AGUA MINERAL,5089558717,True,True
AGUA MINERAL,5087991537,True,True
AGUA MINERAL,5090594347,True,False
AGUA MINERAL,5090283407,True,True
AGUA MINERAL,4987586967,True,False
AGUA MINERAL,4987703407,True,True
AGUA MINERAL,5088695527,True,True
AGUA MINERAL,4987588727,True,True
AGUA MINERAL,4991634357,True,True
AGUA MINERAL,4987722797,True,True
AGUA MINERAL,4987721637,False,True
AGUA MINERAL,4987718487,True,True
AGUA MINERAL,5089354707,True,True
AGUA MINERAL,5087979257,False,True
AGUA MINERAL,5087979237,True,True
AGUA MINERAL,4987591357,True,True
AGUA MINERAL,4987561847,True,True
AGUA MINERAL,5088022717,True,False
AGUA MINERAL,4987745247,False,True
AGUA MINERAL,4987736547,False,True
AGUA MINERAL,5089497377,True,True
AGUA MINERAL,4987852187,True,True
AGUA MINERAL,5091038397,True,True
AGUA MINERAL,5088018737,True,True
AGUA MINERAL,4987749207,True,True
AGUA MINERAL,4987709457,True,True
AGUA MINERAL,5091614617,True,True
AGUA MINERAL,5090159247,True,True
AGUA MINERAL,5087974657,True,True
AGUA MINERAL,4987715067,True,True
AGUA MINERAL,4987685637,True,True
AGUA MINERAL,5088045727,True,True
AGUA MINERAL,4987957597,True,True
AGUA MINERAL,4987957357,True,True
AGUA MINERAL,4987951947,True,True
AGUA MINERAL,5091160947,True,True
AGUA MINERAL,5090438767,True,True
AGUA MINERAL,5089658277,True,True
AGUA MINERAL,5089214307,True,True
AGUA MINERAL,5088801467,True,False
AGUA MINERAL,4987626977,True,True
AGUA MINERAL,5089079837,False,True
AGUA MINERAL,4987695467,True,True
AGUA MINERAL,5090849807,True,True
AGUA MINERAL,4987760297,True,True
AGUA MINERAL,4987732827,True,True
AGUA MINERAL,5091580297,True,True
AGUA MINERAL,4987728807,True,True
AGUA MINERAL,5090732787,True,True
AGUA MINERAL,5088087207,True,True
AGUA MINERAL,4987904037,True,True
AGUA MINERAL,4987567037,True,True
AGUA MINERAL,5091209147,True,True
AGUA MINERAL,5089778797,True,False
AGUA MINERAL,4989338387,False,True
AGUA MINERAL,4987886287,True,True
AGUA MINERAL,4987881907,True,False
AGUA MINERAL,4987881547,True,True
AGUA MINERAL,5091649487,True,True
AGUA MINERAL,4987867577,True,False
AGUA MINERAL,4987865477,False,True
AGUA MINERAL,4987862887,True,True
AGUA MINERAL,5089896877,True,True
AGUA MINERAL,5088749347,True,True
AGUA MINERAL,5088076477,True,True
AGUA MINERAL,5088021047,True,True
AGUA MINERAL,5088018407,True,True
AGUA MINERAL,4987752057,True,False
AGUA MINERAL,4987738577,True,True
AGUA MINERAL,4987729807,True,True
AGUA MINERAL,5090311657,True,False
AGUA MINERAL,4987632977,False,True
AGUA MINERAL,4987616417,True,False
AGUA MINERAL,4987616237,True,False
AGUA MINERAL,4987608467,True,True
AGUA MINERAL,4987720887,True,True
AGUA MINERAL,4987711357,True,True
AGUA MINERAL,4988363817,True,False
AGUA MINERAL,4987643677,True,True
AGUA MINERAL,4987640777,True,True
AGUA MINERAL,4987615787,True,True
AGUA MINERAL,5090648907,True,True
AGUA MINERAL,4987628357,True,True
AGUA MINERAL,5088106577,True,False
AGUA MINERAL,5088106467,True,True
AGUA MINERAL,5088104647,True,True
AGUA MINERAL,4987731147,True,False
AGUA MINERAL,4987694277,True,False
AGUA MINERAL,4987594947,True,True
AGUA MINERAL,4987592997,True,True
AGUA MINERAL,5088093967,False,True
AGUA MINERAL,5090482357,True,True
AGUA MINERAL,4987580407,True,True
AGUA MINERAL,4987562917,False,True
AGUA MINERAL,4987695437,True,True
AGUA MINERAL,5088814977,True,True
AGUA MINERAL,4987632557,True,True
AGUA MINERAL,4987632337,True,True
AGUA MINERAL,4987607877,True,True
AGUA MINERAL,4987603497,True,True
AGUA MINERAL,4987569497,True,True
AGUA MINERAL,5091611687,False,True
AGUA MINERAL,5090014407,True,True
AGUA MINERAL,5089466587,True,True
AGUA MINERAL,5090638227,True,True
AGUA MINERAL,5088017987,True,True
AGUA MINERAL,4987754597,True,False
