indice_canibalizacion,index,cluster,week,delta,customer
pos canibalizador,0,92,202031,25.6788,5090633347
pos canibalizado,0,92,202041,-17.1192,5090633347
unknown,0,92,202037,5.706299999999999,5090633347
unknown,0,92,202040,11.4129,5090633347
pos canibalizado,0,92,202039,-62.7702,5090633347
canibalizador,0,92,202038,53.259600000000006,5090633347
unknown,0,92,202036,-7.608599999999999,5090633347
unknown,0,92,202035,-13.061100000000003,5090633347
unknown,0,92,202034,-5.0090999999999966,5090633347
pos canibalizador,0,92,202033,27.5808,5090633347
unknown,0,92,202031,0.6972,5090041087
pos canibalizado,0,92,202041,-57.063900000000004,5090041087
pos canibalizador,0,92,202037,53.2596,5090041087
unknown,0,92,202040,7.6086,5090041087
unknown,0,92,202039,0.0,5090041087
unknown,0,92,202038,-4.3113,5090041087
pos canibalizado,0,92,202036,-17.563200000000002,5090041087
unknown,0,92,202035,-6.657599999999999,5090041087
canibalizador,0,92,202034,28.5321,5090041087
pos canibalizado,0,92,202033,-43.305,5090041087
unknown,0,92,202031,0.0,4987711477
unknown,0,92,202041,0.0,4987711477
unknown,0,92,202037,0.0,4987711477
unknown,0,92,202040,0.0,4987711477
unknown,0,92,202039,0.0,4987711477
unknown,0,92,202038,-17.1192,4987711477
canibalizador,0,92,202036,17.1192,4987711477
unknown,0,92,202035,0.0,4987711477
unknown,0,92,202034,0.0,4987711477
pos canibalizado,0,92,202033,-17.816399999999998,4987711477
pos canibalizado,0,92,202031,-45.650999999999996,4987710617
canibalizador,0,92,202041,29.9271,4987710617
pos canibalizador,0,92,202037,23.3325,4987710617
pos canibalizado,0,92,202040,-44.7,4987710617
pos canibalizador,0,92,202039,35.189400000000006,4987710617
pos canibalizado,0,92,202038,-24.7277999999997,4987710617
unknown,0,92,202036,12.363899999999699,4987710617
unknown,0,92,202035,0.0,4987710617
unknown,0,92,202034,0.9510000000000005,4987710617
pos canibalizador,0,92,202033,20.9235,4987710617
unknown,0,90,202031,-7.6086,4987577027
pos canibalizador,0,90,202041,7.6086,4987577027
unknown,0,90,202037,-12.8073,4987577027
unknown,0,90,202040,4.2477,4987577027
unknown,0,90,202039,-9.5106,4987577027
canibalizador,0,90,202038,13.5687,4987577027
unknown,0,90,202036,-17.37299999999997,4987577027
pos canibalizador,0,90,202035,21.87449999999997,4987577027
unknown,0,90,202034,-4.7553,4987577027
unknown,0,90,202033,0.2538,4987577027
pos canibalizador,0,90,202031,16.16819999999997,4987566257
pos canibalizado,0,90,202041,-15.914399999999999,4987566257
unknown,0,90,202037,-0.9510000000000005,4987566257
pos canibalizador,0,90,202040,9.2568,4987566257
canibalizado1,0,90,202039,-13.7583,4987566257
unknown,0,90,202038,-8.813399999999696,4987566257
