det_segment,customer,canibalizador,canibalizado
AGUA PURIFICADA,5090445577,True,True
AGUA PURIFICADA,5089726697,False,True
AGUA PURIFICADA,4987591237,True,True
AGUA PURIFICADA,4987586127,True,True
AGUA PURIFICADA,5088017987,True,True
AGUA PURIFICADA,4987745487,True,True
AGUA PURIFICADA,4987702317,True,True
AGUA PURIFICADA,4987696647,True,True
AGUA PURIFICADA,4987885907,True,False
AGUA PURIFICADA,4987864257,True,False
AGUA PURIFICADA,5090927837,True,True
AGUA PURIFICADA,5090543337,True,True
AGUA PURIFICADA,4987708757,True,True
AGUA PURIFICADA,4987957357,True,True
AGUA PURIFICADA,4987951947,True,True
AGUA PURIFICADA,4987942627,True,True
AGUA PURIFICADA,5091725617,True,True
AGUA PURIFICADA,4991582307,True,True
AGUA PURIFICADA,4987881897,True,True
AGUA PURIFICADA,5087979687,True,True
AGUA PURIFICADA,4987588727,False,True
AGUA PURIFICADA,4987632337,True,True
AGUA PURIFICADA,4987721897,True,True
AGUA PURIFICADA,5090772297,True,True
AGUA PURIFICADA,5091737607,True,True
AGUA PURIFICADA,4987575047,True,True
AGUA PURIFICADA,5091637837,True,True
AGUA PURIFICADA,5088022237,True,False
AGUA PURIFICADA,4987725277,True,True
AGUA PURIFICADA,5087978997,True,True
AGUA PURIFICADA,4987960217,True,True
AGUA PURIFICADA,4987593237,True,True
AGUA PURIFICADA,4987589007,True,True
AGUA PURIFICADA,4987889337,True,True
AGUA PURIFICADA,4987628357,False,True
AGUA PURIFICADA,5088015887,False,True
AGUA PURIFICADA,5090677567,True,True
AGUA PURIFICADA,5087979037,True,True
AGUA PURIFICADA,4988396097,True,True
AGUA PURIFICADA,5090442857,False,True
AGUA PURIFICADA,5088086237,False,True
AGUA PURIFICADA,4987761257,True,True
AGUA PURIFICADA,5090425387,True,True
AGUA PURIFICADA,4987953067,False,True
AGUA PURIFICADA,4988363817,True,True
AGUA PURIFICADA,4987643677,True,True
AGUA PURIFICADA,4987615787,True,True
AGUA PURIFICADA,4987745247,True,True
AGUA PURIFICADA,4987736547,True,True
AGUA PURIFICADA,5090849807,True,True
AGUA PURIFICADA,4988343457,True,True
AGUA PURIFICADA,4987760367,True,False
AGUA PURIFICADA,4987759667,False,True
AGUA PURIFICADA,4991367707,True,True
AGUA PURIFICADA,4987577317,False,True
AGUA PURIFICADA,5087981637,True,True
AGUA PURIFICADA,4987632977,False,True
AGUA PURIFICADA,4987616237,False,True
AGUA PURIFICADA,4987608467,True,False
AGUA PURIFICADA,4987718487,True,True
AGUA PURIFICADA,4989338387,False,True
AGUA PURIFICADA,4987886287,True,False
AGUA PURIFICADA,4987942967,True,True
AGUA PURIFICADA,5090124217,True,True
AGUA PURIFICADA,4987759787,False,True
AGUA PURIFICADA,4987719977,False,True
AGUA PURIFICADA,4987687047,True,True
AGUA PURIFICADA,5088064407,True,True
AGUA PURIFICADA,4987586967,True,True
AGUA PURIFICADA,4987562197,True,True
AGUA PURIFICADA,4991476307,True,True
AGUA PURIFICADA,4987723027,True,True
