det_segment,customer,canibalizador,canibalizado
AGUA SABORIZADA,5088075837,True,True
AGUA SABORIZADA,4987620527,True,False
AGUA SABORIZADA,4987583897,True,True
AGUA SABORIZADA,4987583587,False,True
AGUA SABORIZADA,5088022317,True,True
AGUA SABORIZADA,4988370207,True,True
AGUA SABORIZADA,5091637877,False,True
AGUA SABORIZADA,5090926557,True,True
AGUA SABORIZADA,5090844707,True,True
AGUA SABORIZADA,5090826757,True,True
AGUA SABORIZADA,5090760947,True,True
AGUA SABORIZADA,5089452537,True,True
AGUA SABORIZADA,4987773427,True,True
AGUA SABORIZADA,4987735997,True,True
AGUA SABORIZADA,4987720417,True,True
AGUA SABORIZADA,5087998737,True,False
AGUA SABORIZADA,5090123567,True,False
AGUA SABORIZADA,4987734387,True,True
AGUA SABORIZADA,4987733267,True,True
AGUA SABORIZADA,4987730157,True,True
AGUA SABORIZADA,5088049887,True,True
AGUA SABORIZADA,5091426887,True,False
AGUA SABORIZADA,5090085457,True,False
AGUA SABORIZADA,5089797087,True,True
AGUA SABORIZADA,5089147927,True,True
AGUA SABORIZADA,4987769677,True,True
AGUA SABORIZADA,4987719597,True,True
AGUA SABORIZADA,4987717227,True,True
AGUA SABORIZADA,4987709537,False,True
AGUA SABORIZADA,4987709457,True,True
AGUA SABORIZADA,5089178947,True,True
AGUA SABORIZADA,4987632557,True,True
AGUA SABORIZADA,4987632337,True,True
AGUA SABORIZADA,4987597237,True,True
AGUA SABORIZADA,4991486917,True,True
AGUA SABORIZADA,5091340197,True,True
AGUA SABORIZADA,5088356697,True,True
AGUA SABORIZADA,4987661387,True,True
AGUA SABORIZADA,4987574077,True,True
AGUA SABORIZADA,5089947427,False,True
AGUA SABORIZADA,4991660367,True,True
AGUA SABORIZADA,4987736157,True,True
AGUA SABORIZADA,4987734567,True,True
AGUA SABORIZADA,4987601367,True,True
AGUA SABORIZADA,4987601107,False,True
AGUA SABORIZADA,4987571147,True,True
AGUA SABORIZADA,5088084057,True,True
AGUA SABORIZADA,5088032587,True,True
AGUA SABORIZADA,4987922827,True,True
AGUA SABORIZADA,4989900687,True,True
AGUA SABORIZADA,4987769207,False,True
AGUA SABORIZADA,4987717657,False,True
AGUA SABORIZADA,4987717237,True,True
AGUA SABORIZADA,4987714737,True,True
AGUA SABORIZADA,4987712537,True,False
AGUA SABORIZADA,4988593887,True,True
AGUA SABORIZADA,4987836747,True,True
AGUA SABORIZADA,4987797977,True,True
AGUA SABORIZADA,4987659467,True,True
AGUA SABORIZADA,5087977007,False,True
AGUA SABORIZADA,4987817717,True,True
AGUA SABORIZADA,4987576467,False,True
AGUA SABORIZADA,4987568687,True,True
AGUA SABORIZADA,5091135107,True,True
AGUA SABORIZADA,5089727697,True,False
AGUA SABORIZADA,4987650437,True,True
AGUA SABORIZADA,4987592717,True,True
AGUA SABORIZADA,4987695427,False,True
AGUA SABORIZADA,4987682197,True,True
AGUA SABORIZADA,5090568037,True,False
AGUA SABORIZADA,4987877247,True,False
AGUA SABORIZADA,5088009847,True,True
AGUA SABORIZADA,4987665717,True,True
AGUA SABORIZADA,5089475247,True,True
AGUA SABORIZADA,4987924367,True,True
AGUA SABORIZADA,5089786747,False,True
AGUA SABORIZADA,5088022237,False,True
AGUA SABORIZADA,4987740097,False,True
AGUA SABORIZADA,4987725277,False,True
AGUA SABORIZADA,5088076217,False,True
AGUA SABORIZADA,4991403597,True,True
AGUA SABORIZADA,4987881897,True,False
AGUA SABORIZADA,4987866637,True,True
AGUA SABORIZADA,4987865477,False,True
AGUA SABORIZADA,4987862887,False,True
AGUA SABORIZADA,4987854197,True,True
AGUA SABORIZADA,5091387417,True,False
AGUA SABORIZADA,5087981637,True,True
AGUA SABORIZADA,4987605627,True,True
AGUA SABORIZADA,5088099687,False,True
AGUA SABORIZADA,5087983317,True,False
AGUA SABORIZADA,5087982517,True,True
AGUA SABORIZADA,5090633347,True,True
AGUA SABORIZADA,4987675757,True,True
AGUA SABORIZADA,5090696697,True,False
AGUA SABORIZADA,4987589127,True,True
AGUA SABORIZADA,4987951317,True,True
AGUA SABORIZADA,4987677207,True,True
AGUA SABORIZADA,4987704647,True,True
AGUA SABORIZADA,4989340087,True,True
AGUA SABORIZADA,4988363667,True,True
AGUA SABORIZADA,4987637687,True,False
AGUA SABORIZADA,4987582467,True,True
AGUA SABORIZADA,5090425387,True,False
AGUA SABORIZADA,5088910827,True,True
AGUA SABORIZADA,4987751067,True,True
AGUA SABORIZADA,4987710387,True,True
AGUA SABORIZADA,4987698837,True,True
AGUA SABORIZADA,4987694877,True,True
AGUA SABORIZADA,4987692247,True,True
AGUA SABORIZADA,4987683577,True,True
AGUA SABORIZADA,4987676917,True,True
AGUA SABORIZADA,4987672797,True,True
AGUA SABORIZADA,4987666297,True,True
AGUA SABORIZADA,5091691467,True,True
AGUA SABORIZADA,5091558937,False,True
AGUA SABORIZADA,4988385397,True,True
AGUA SABORIZADA,4987580857,False,True
AGUA SABORIZADA,4987566917,True,True
AGUA SABORIZADA,5091611687,False,True
AGUA SABORIZADA,5090973437,True,False
AGUA SABORIZADA,5089466587,True,True
AGUA SABORIZADA,5087972357,True,False
AGUA SABORIZADA,4991367707,True,True
AGUA SABORIZADA,4987587127,False,True
AGUA SABORIZADA,4987586067,False,True
AGUA SABORIZADA,5088021257,True,True
AGUA SABORIZADA,4987726887,True,True
AGUA SABORIZADA,4987715787,False,True
AGUA SABORIZADA,4987715417,True,True
AGUA SABORIZADA,5087978487,True,True
AGUA SABORIZADA,5087977587,True,True
AGUA SABORIZADA,4987626507,True,True
AGUA SABORIZADA,4987876637,True,True
AGUA SABORIZADA,4987594937,True,True
AGUA SABORIZADA,4987886287,False,True
AGUA SABORIZADA,4987881907,True,False
AGUA SABORIZADA,4987881547,True,True
AGUA SABORIZADA,5087979687,False,True
AGUA SABORIZADA,4987588727,False,True
AGUA SABORIZADA,5089788587,True,True
AGUA SABORIZADA,4987663207,True,True
AGUA SABORIZADA,4987882967,True,True
AGUA SABORIZADA,4987895307,True,True
AGUA SABORIZADA,5088072867,True,False
AGUA SABORIZADA,4987819977,True,True
AGUA SABORIZADA,4987759937,True,True
AGUA SABORIZADA,5087993137,True,True
