det_segment,customer,canibalizador,canibalizado
BEBIDAS DE FRUTA,5087976857,True,True
BEBIDAS DE FRUTA,4987620677,True,True
BEBIDAS DE FRUTA,5090269027,True,True
BEBIDAS DE FRUTA,5089178947,True,True
BEBIDAS DE FRUTA,4990692087,True,True
BEBIDAS DE FRUTA,4987608307,True,True
BEBIDAS DE FRUTA,4987598327,True,True
BEBIDAS DE FRUTA,4987585747,True,True
BEBIDAS DE FRUTA,5091637837,True,True
BEBIDAS DE FRUTA,5088022237,True,False
BEBIDAS DE FRUTA,5087995257,True,True
BEBIDAS DE FRUTA,5090813727,False,True
BEBIDAS DE FRUTA,5088992937,True,True
BEBIDAS DE FRUTA,4991486887,True,True
BEBIDAS DE FRUTA,4987881897,True,False
BEBIDAS DE FRUTA,4987867577,True,True
BEBIDAS DE FRUTA,4987854157,True,True
BEBIDAS DE FRUTA,5091165987,True,True
BEBIDAS DE FRUTA,4991533587,True,True
BEBIDAS DE FRUTA,4987769207,False,True
BEBIDAS DE FRUTA,4987717657,True,False
BEBIDAS DE FRUTA,4987717237,True,True
BEBIDAS DE FRUTA,5089354707,True,True
BEBIDAS DE FRUTA,4987591347,True,True
BEBIDAS DE FRUTA,4987586127,True,True
BEBIDAS DE FRUTA,4987727247,True,True
BEBIDAS DE FRUTA,4987570227,True,True
BEBIDAS DE FRUTA,5090283407,False,True
BEBIDAS DE FRUTA,4987586967,True,False
BEBIDAS DE FRUTA,5088015907,True,False
BEBIDAS DE FRUTA,5088015887,False,True
BEBIDAS DE FRUTA,5088080437,True,False
BEBIDAS DE FRUTA,4987953207,True,True
BEBIDAS DE FRUTA,4987953067,True,False
BEBIDAS DE FRUTA,4987952917,True,True
BEBIDAS DE FRUTA,4987885907,True,True
BEBIDAS DE FRUTA,4987877507,True,False
BEBIDAS DE FRUTA,4987643677,False,True
BEBIDAS DE FRUTA,4987640777,True,False
BEBIDAS DE FRUTA,4987615787,False,True
BEBIDAS DE FRUTA,5089823887,True,False
BEBIDAS DE FRUTA,5088022717,True,False
BEBIDAS DE FRUTA,4987745247,False,True
BEBIDAS DE FRUTA,4987736547,True,False
BEBIDAS DE FRUTA,5091458797,True,True
BEBIDAS DE FRUTA,4987957457,True,True
BEBIDAS DE FRUTA,4987942967,True,True
BEBIDAS DE FRUTA,4987942747,True,True
BEBIDAS DE FRUTA,5087981637,True,True
BEBIDAS DE FRUTA,4987632977,True,True
BEBIDAS DE FRUTA,4987608467,True,True
BEBIDAS DE FRUTA,4987721137,True,True
BEBIDAS DE FRUTA,4987889037,True,True
BEBIDAS DE FRUTA,5087992427,True,True
BEBIDAS DE FRUTA,5088024097,True,True
BEBIDAS DE FRUTA,4988343457,True,True
BEBIDAS DE FRUTA,4987760367,True,True
BEBIDAS DE FRUTA,4987732827,True,True
BEBIDAS DE FRUTA,5087842557,True,True
BEBIDAS DE FRUTA,4987577077,True,True
BEBIDAS DE FRUTA,4987854257,True,True
BEBIDAS DE FRUTA,4987566617,True,True
BEBIDAS DE FRUTA,4987566257,True,True
BEBIDAS DE FRUTA,5087996917,True,True
BEBIDAS DE FRUTA,4987723887,True,True
BEBIDAS DE FRUTA,4989338387,False,True
BEBIDAS DE FRUTA,4987592997,True,True
BEBIDAS DE FRUTA,4987919807,True,True
BEBIDAS DE FRUTA,4987891977,True,True
BEBIDAS DE FRUTA,5090648907,True,True
