det_segment,customer,canibalizador,canibalizado
BEBIDAS DE SOYA,5089176127,True,True
BEBIDAS DE SOYA,5088090237,True,True
BEBIDAS DE SOYA,4987930637,True,True
BEBIDAS DE SOYA,5090879867,True,True
BEBIDAS DE SOYA,4987779577,True,False
BEBIDAS DE SOYA,5087981697,True,True
BEBIDAS DE SOYA,4987959427,True,True
BEBIDAS DE SOYA,4987691227,True,True
BEBIDAS DE SOYA,5088096087,True,True
BEBIDAS DE SOYA,5088094657,True,True
BEBIDAS DE SOYA,5088087917,True,False
BEBIDAS DE SOYA,4990584407,True,True
BEBIDAS DE SOYA,5090438887,True,True
BEBIDAS DE SOYA,5089884487,False,True
BEBIDAS DE SOYA,5088019317,False,True
BEBIDAS DE SOYA,4987743877,False,True
BEBIDAS DE SOYA,4987715627,True,False
BEBIDAS DE SOYA,4987707967,False,True
BEBIDAS DE SOYA,5089617887,True,True
BEBIDAS DE SOYA,4991555597,False,True
BEBIDAS DE SOYA,4987719597,True,True
BEBIDAS DE SOYA,4987703357,True,True
BEBIDAS DE SOYA,4987697357,True,True
BEBIDAS DE SOYA,4987696307,True,True
BEBIDAS DE SOYA,4987683467,True,True
BEBIDAS DE SOYA,4987681367,True,True
BEBIDAS DE SOYA,5090632267,True,True
BEBIDAS DE SOYA,4987753047,True,True
BEBIDAS DE SOYA,5089771857,True,True
BEBIDAS DE SOYA,4990692087,False,True
BEBIDAS DE SOYA,4987632337,False,True
BEBIDAS DE SOYA,4987632037,False,True
BEBIDAS DE SOYA,4987603497,False,True
BEBIDAS DE SOYA,5088797947,True,True
BEBIDAS DE SOYA,5087976097,True,True
BEBIDAS DE SOYA,5087979097,True,False
BEBIDAS DE SOYA,4991536087,True,True
BEBIDAS DE SOYA,4991476647,True,False
BEBIDAS DE SOYA,5090619287,True,True
BEBIDAS DE SOYA,5090478487,True,True
BEBIDAS DE SOYA,5090448657,True,True
BEBIDAS DE SOYA,5090418967,True,True
BEBIDAS DE SOYA,4987717067,False,True
BEBIDAS DE SOYA,4987708997,True,True
BEBIDAS DE SOYA,5088077247,True,True
BEBIDAS DE SOYA,5088075117,False,True
BEBIDAS DE SOYA,4987729367,True,True
BEBIDAS DE SOYA,4987719027,True,False
BEBIDAS DE SOYA,4987679577,True,True
