det_segment,customer,canibalizador,canibalizado
BEBIDAS ENERGETICAS,5090990187,True,True
BEBIDAS ENERGETICAS,4987742977,True,True
BEBIDAS ENERGETICAS,4987721007,True,False
BEBIDAS ENERGETICAS,4987569867,True,True
BEBIDAS ENERGETICAS,4987566257,True,True
BEBIDAS ENERGETICAS,5088023347,False,True
BEBIDAS ENERGETICAS,5091495177,True,False
BEBIDAS ENERGETICAS,5089178947,True,False
BEBIDAS ENERGETICAS,5088869577,True,False
BEBIDAS ENERGETICAS,4990692087,True,False
BEBIDAS ENERGETICAS,4987632557,True,True
BEBIDAS ENERGETICAS,4987632337,True,True
BEBIDAS ENERGETICAS,4987632037,True,True
BEBIDAS ENERGETICAS,4987608307,True,False
BEBIDAS ENERGETICAS,4987606547,False,True
BEBIDAS ENERGETICAS,4987584807,True,True
BEBIDAS ENERGETICAS,5090980037,True,False
BEBIDAS ENERGETICAS,5090761217,True,False
BEBIDAS ENERGETICAS,5090001857,True,True
BEBIDAS ENERGETICAS,5088797847,True,True
BEBIDAS ENERGETICAS,4987687607,True,False
BEBIDAS ENERGETICAS,5089354707,True,False
BEBIDAS ENERGETICAS,4987591357,False,True
BEBIDAS ENERGETICAS,4987561847,False,True
BEBIDAS ENERGETICAS,5091013377,True,True
BEBIDAS ENERGETICAS,5090799987,True,True
BEBIDAS ENERGETICAS,4990721737,True,True
BEBIDAS ENERGETICAS,4988363667,True,True
BEBIDAS ENERGETICAS,4987582467,True,True
BEBIDAS ENERGETICAS,4987889337,False,True
BEBIDAS ENERGETICAS,4987877247,True,False
BEBIDAS ENERGETICAS,5091589287,True,True
BEBIDAS ENERGETICAS,4990702877,True,True
BEBIDAS ENERGETICAS,5088019317,False,True
BEBIDAS ENERGETICAS,4987751317,True,True
BEBIDAS ENERGETICAS,4987719347,True,True
BEBIDAS ENERGETICAS,5090962667,True,True
BEBIDAS ENERGETICAS,4987689507,True,True
BEBIDAS ENERGETICAS,4988342037,True,True
BEBIDAS ENERGETICAS,4987607257,True,True
BEBIDAS ENERGETICAS,4987586697,True,True
BEBIDAS ENERGETICAS,5090632377,True,True
BEBIDAS ENERGETICAS,4987730157,True,True
BEBIDAS ENERGETICAS,4987714017,True,True
BEBIDAS ENERGETICAS,5091180667,True,True
BEBIDAS ENERGETICAS,5089878427,True,True
BEBIDAS ENERGETICAS,5090732787,True,True
BEBIDAS ENERGETICAS,4987902987,True,True
BEBIDAS ENERGETICAS,5088076217,True,False
BEBIDAS ENERGETICAS,4991486887,True,True
BEBIDAS ENERGETICAS,4987881897,True,True
BEBIDAS ENERGETICAS,4987868547,True,True
BEBIDAS ENERGETICAS,4987854197,True,True
BEBIDAS ENERGETICAS,5090055877,True,True
BEBIDAS ENERGETICAS,4987602807,True,True
BEBIDAS ENERGETICAS,4987586447,True,True
BEBIDAS ENERGETICAS,4987563117,True,False
BEBIDAS ENERGETICAS,5090146947,True,True
BEBIDAS ENERGETICAS,4987709537,False,True
BEBIDAS ENERGETICAS,4987708757,True,True
BEBIDAS ENERGETICAS,4987746587,True,False
BEBIDAS ENERGETICAS,4990713207,True,True
BEBIDAS ENERGETICAS,5090938177,True,True
BEBIDAS ENERGETICAS,5088085747,True,True
BEBIDAS ENERGETICAS,4987910237,False,True
BEBIDAS ENERGETICAS,4987695597,True,True
BEBIDAS ENERGETICAS,4987768107,True,True
BEBIDAS ENERGETICAS,5089995427,True,True
BEBIDAS ENERGETICAS,5088089127,True,True
BEBIDAS ENERGETICAS,5089821007,False,True
BEBIDAS ENERGETICAS,5088751357,True,True
BEBIDAS ENERGETICAS,4987752327,False,True
BEBIDAS ENERGETICAS,4987734497,True,True
BEBIDAS ENERGETICAS,4987921357,False,True
BEBIDAS ENERGETICAS,4987913937,True,True
BEBIDAS ENERGETICAS,4987905667,True,True
BEBIDAS ENERGETICAS,4987904607,True,True
BEBIDAS ENERGETICAS,4987895127,True,True
BEBIDAS ENERGETICAS,4987887927,True,True
BEBIDAS ENERGETICAS,4987677407,False,True
BEBIDAS ENERGETICAS,5088356697,True,True
BEBIDAS ENERGETICAS,4987689587,True,True
BEBIDAS ENERGETICAS,4987683437,True,False
BEBIDAS ENERGETICAS,4987681697,True,True
BEBIDAS ENERGETICAS,5090772447,True,True
BEBIDAS ENERGETICAS,5089726697,True,True
BEBIDAS ENERGETICAS,4987620527,True,True
BEBIDAS ENERGETICAS,4987697177,True,True
BEBIDAS ENERGETICAS,4987690127,True,True
BEBIDAS ENERGETICAS,4987687357,True,True
BEBIDAS ENERGETICAS,5091760997,True,True
BEBIDAS ENERGETICAS,5089474977,False,True
BEBIDAS ENERGETICAS,5091253287,True,False
BEBIDAS ENERGETICAS,5090898417,True,True
BEBIDAS ENERGETICAS,5088010237,False,True
BEBIDAS ENERGETICAS,5087996147,True,True
