det_segment,customer,canibalizador,canibalizado
COLAS LIGHT,4987575047,True,True
COLAS LIGHT,5088779997,True,True
COLAS LIGHT,4987862887,True,True
COLAS LIGHT,4987854197,True,True
COLAS LIGHT,4987588727,True,True
COLAS LIGHT,4987603497,True,True
COLAS LIGHT,5088015887,True,True
COLAS LIGHT,4987959997,True,True
COLAS LIGHT,5089546397,True,True
COLAS LIGHT,4987864257,True,False
COLAS LIGHT,4987753047,True,True
COLAS LIGHT,5090425387,True,False
COLAS LIGHT,5088022237,False,True
COLAS LIGHT,4987953207,True,False
COLAS LIGHT,4987745247,False,True
COLAS LIGHT,4988363817,True,False
COLAS LIGHT,4987643677,False,True
COLAS LIGHT,4987640777,False,True
COLAS LIGHT,4987615787,True,False
COLAS LIGHT,4987942747,True,True
COLAS LIGHT,4987607137,True,True
COLAS LIGHT,5090648907,True,True
COLAS LIGHT,4987588077,True,True
COLAS LIGHT,4987593237,True,True
COLAS LIGHT,4987571387,True,True
COLAS LIGHT,5088023407,False,True
COLAS LIGHT,5088078737,True,False
COLAS LIGHT,4987871457,True,False
COLAS LIGHT,4987865107,True,True
COLAS LIGHT,5091209147,False,True
COLAS LIGHT,5089778797,True,False
COLAS LIGHT,4987886287,True,False
COLAS LIGHT,4987881907,True,True
COLAS LIGHT,4987881547,True,True
COLAS LIGHT,5089904717,True,True
COLAS LIGHT,5090311867,True,True
COLAS LIGHT,5088041677,True,False
COLAS LIGHT,5087981637,True,True
COLAS LIGHT,4987632977,True,True
COLAS LIGHT,4987951947,True,True
COLAS LIGHT,4987850137,True,True
COLAS LIGHT,5090677557,True,True
COLAS LIGHT,4987867467,True,True
COLAS LIGHT,4987602577,True,True
