indice_canibalizacion,index,cluster,week,delta,customer
pos canibalizador,0,89,202041,21.4296,4987575047
canibalizado,0,89,202036,-25.9311,4987575047
pos canibalizador,0,89,202031,34.9341,4987575047
unknown,0,89,202040,-4.5015,4987575047
unknown,0,89,202039,-13.5045,4987575047
unknown,0,89,202038,4.5015,4987575047
unknown,0,89,202037,9.003,4987575047
unknown,0,89,202035,4.5015,4987575047
unknown,0,89,202034,0.0,4987575047
pos canibalizado,0,89,202033,-87.8742,4987575047
canibalizador,0,73,202041,33.1917,5088779997
unknown,0,73,202036,0.0,5088779997
unknown,0,73,202031,3.8043,5088779997
pos canibalizado,0,73,202040,-10.5672,5088779997
unknown,0,73,202039,2.958599999999999,5088779997
pos canibalizado,0,73,202038,-21.451199999999695,5088779997
pos canibalizador,0,73,202037,14.688299999999693,5088779997
unknown,0,73,202035,-7.608599999999996,5088779997
pos canibalizador,0,73,202034,21.980099999999997,5088779997
pos canibalizado,0,73,202033,-52.8468,5088779997
pos canibalizado,0,73,202041,-31.956000000000003,4987862887
canibalizador,0,73,202036,41.973600000000005,4987862887
pos canibalizado,0,73,202031,-32.0508,4987862887
unknown,0,73,202040,-6.551700000000004,4987862887
unknown,0,73,202039,-2.388300000000001,4987862887
pos canibalizador,0,73,202038,28.595400000000005,4987862887
pos canibalizado,0,73,202037,-41.9946,4987862887
pos canibalizador,0,73,202035,21.557699999999997,4987862887
pos canibalizado,0,73,202034,-14.7834,4987862887
unknown,0,73,202033,1.034400000000005,4987862887
unknown,0,73,202041,2.1129,4987854197
unknown,0,73,202036,0.8456999999999972,4987854197
pos canibalizador,0,73,202031,10.567200000000003,4987854197
pos canibalizado,0,73,202040,-28.3203,4987854197
pos canibalizador,0,73,202039,32.1246,4987854197
unknown,0,73,202038,0.0,4987854197
unknown,0,73,202037,3.8043,4987854197
canibalizado,0,73,202035,-20.289,4987854197
unknown,0,73,202034,-6.974699999999999,4987854197
pos canibalizador,0,73,202033,12.0465,4987854197
unknown,0,70,202041,-5.716800000000028,4987588727
unknown,0,70,202036,10.218300000000028,4987588727
unknown,0,70,202031,-8.055375299999998,4987588727
unknown,0,70,202040,3.543375299999969,4987588727
unknown,0,70,202039,2.9585999999999997,4987588727
unknown,0,70,202038,-22.655399999999997,4987588727
