det_segment,customer,canibalizador,canibalizado
COLAS REGULAR,4987588727,True,True
COLAS REGULAR,4987798167,True,True
COLAS REGULAR,4988363817,True,False
COLAS REGULAR,4987643677,False,True
COLAS REGULAR,4987640777,True,True
COLAS REGULAR,4987615787,True,True
COLAS REGULAR,5087844767,True,True
COLAS REGULAR,4987577077,True,True
COLAS REGULAR,4987563487,True,True
COLAS REGULAR,4987679567,False,True
COLAS REGULAR,4987953207,True,True
COLAS REGULAR,5090280157,True,True
COLAS REGULAR,4991533587,True,True
COLAS REGULAR,4987632557,True,True
COLAS REGULAR,4987632337,True,True
COLAS REGULAR,4991640047,True,True
COLAS REGULAR,4987885907,False,True
COLAS REGULAR,4987877507,True,True
COLAS REGULAR,4987864257,True,True
COLAS REGULAR,5088036937,True,True
COLAS REGULAR,5091209147,True,True
COLAS REGULAR,5089851537,True,False
COLAS REGULAR,4987886287,True,True
COLAS REGULAR,4987881907,True,True
COLAS REGULAR,4987881547,True,True
COLAS REGULAR,4987861077,True,False
COLAS REGULAR,5090594347,False,True
COLAS REGULAR,4987586967,True,True
COLAS REGULAR,4987586777,True,True
COLAS REGULAR,5088105117,True,False
COLAS REGULAR,5088105067,False,True
COLAS REGULAR,5088015887,True,True
COLAS REGULAR,4987736917,True,True
COLAS REGULAR,5090648907,True,True
COLAS REGULAR,4987598527,True,True
COLAS REGULAR,4987588457,False,True
COLAS REGULAR,5088022717,True,True
COLAS REGULAR,4987745667,True,False
COLAS REGULAR,4987745247,False,True
COLAS REGULAR,5087981637,True,False
COLAS REGULAR,4987632977,False,True
COLAS REGULAR,4987619377,True,False
COLAS REGULAR,4987608597,True,False
COLAS REGULAR,4987608467,False,True
COLAS REGULAR,5088023547,True,False
COLAS REGULAR,5088022977,False,True
