det_segment,customer,canibalizador,canibalizado
ISOTÃ“NICOS REGULAR,5090772447,True,False
ISOTÃ“NICOS REGULAR,5089726697,True,True
ISOTÃ“NICOS REGULAR,4987711467,True,True
ISOTÃ“NICOS REGULAR,4987601167,True,True
ISOTÃ“NICOS REGULAR,4987578807,True,True
ISOTÃ“NICOS REGULAR,4987575847,True,True
ISOTÃ“NICOS REGULAR,4987566257,False,True
ISOTÃ“NICOS REGULAR,4987563987,True,True
ISOTÃ“NICOS REGULAR,4987562197,True,True
ISOTÃ“NICOS REGULAR,4987749697,True,True
ISOTÃ“NICOS REGULAR,4987736017,True,True
ISOTÃ“NICOS REGULAR,4987694817,True,True
ISOTÃ“NICOS REGULAR,4987666737,True,True
ISOTÃ“NICOS REGULAR,5091467137,True,False
ISOTÃ“NICOS REGULAR,5088078737,False,True
ISOTÃ“NICOS REGULAR,4987865797,False,True
ISOTÃ“NICOS REGULAR,4987862697,True,True
ISOTÃ“NICOS REGULAR,5091736737,True,True
ISOTÃ“NICOS REGULAR,5090301757,False,True
ISOTÃ“NICOS REGULAR,5088073807,True,True
ISOTÃ“NICOS REGULAR,5088060747,True,True
ISOTÃ“NICOS REGULAR,5088057987,False,True
ISOTÃ“NICOS REGULAR,4987743987,True,True
ISOTÃ“NICOS REGULAR,5090019357,True,True
ISOTÃ“NICOS REGULAR,5088005127,True,True
ISOTÃ“NICOS REGULAR,5090518757,False,True
ISOTÃ“NICOS REGULAR,5088106937,True,True
ISOTÃ“NICOS REGULAR,4987946847,True,False
ISOTÃ“NICOS REGULAR,5089555337,True,True
ISOTÃ“NICOS REGULAR,5088078767,True,True
ISOTÃ“NICOS REGULAR,4987595967,True,True
ISOTÃ“NICOS REGULAR,4987580857,True,True
ISOTÃ“NICOS REGULAR,4987566917,True,True
ISOTÃ“NICOS REGULAR,5087996147,True,True
ISOTÃ“NICOS REGULAR,4987673987,True,True
ISOTÃ“NICOS REGULAR,5091241347,True,True
ISOTÃ“NICOS REGULAR,5087980247,True,True
ISOTÃ“NICOS REGULAR,4988618507,True,True
ISOTÃ“NICOS REGULAR,4991421207,True,True
ISOTÃ“NICOS REGULAR,5089778797,False,True
ISOTÃ“NICOS REGULAR,4987892267,True,False
ISOTÃ“NICOS REGULAR,4987886287,False,True
ISOTÃ“NICOS REGULAR,5087991537,True,True
ISOTÃ“NICOS REGULAR,5090024257,True,True
ISOTÃ“NICOS REGULAR,4987681207,True,True
ISOTÃ“NICOS REGULAR,5091637947,True,False
ISOTÃ“NICOS REGULAR,5090280597,True,True
ISOTÃ“NICOS REGULAR,4987725557,True,True
ISOTÃ“NICOS REGULAR,4987960007,True,True
ISOTÃ“NICOS REGULAR,4987698707,True,True
ISOTÃ“NICOS REGULAR,4987563117,True,True
ISOTÃ“NICOS REGULAR,4987848857,True,True
ISOTÃ“NICOS REGULAR,5091730637,True,True
ISOTÃ“NICOS REGULAR,4987761257,True,True
ISOTÃ“NICOS REGULAR,4987724027,True,True
ISOTÃ“NICOS REGULAR,4991598957,True,True
ISOTÃ“NICOS REGULAR,4987589527,False,True
ISOTÃ“NICOS REGULAR,4987818167,True,True
ISOTÃ“NICOS REGULAR,4987796667,True,True
ISOTÃ“NICOS REGULAR,4987707017,True,True
ISOTÃ“NICOS REGULAR,4987684367,True,True
ISOTÃ“NICOS REGULAR,4987673797,True,True
ISOTÃ“NICOS REGULAR,4987711977,True,True
ISOTÃ“NICOS REGULAR,4987697237,True,True
ISOTÃ“NICOS REGULAR,5090568037,False,True
ISOTÃ“NICOS REGULAR,4987885567,True,True
ISOTÃ“NICOS REGULAR,4987884547,False,True
ISOTÃ“NICOS REGULAR,4987861507,True,True
ISOTÃ“NICOS REGULAR,4991348887,True,True
ISOTÃ“NICOS REGULAR,5088022237,True,False
ISOTÃ“NICOS REGULAR,5088083847,True,True
ISOTÃ“NICOS REGULAR,4987836747,True,True
ISOTÃ“NICOS REGULAR,4987833757,True,True
ISOTÃ“NICOS REGULAR,5091091017,False,True
ISOTÃ“NICOS REGULAR,5087999857,True,True
ISOTÃ“NICOS REGULAR,5088822927,True,True
ISOTÃ“NICOS REGULAR,5088764037,True,False
ISOTÃ“NICOS REGULAR,5088687797,True,True
ISOTÃ“NICOS REGULAR,5087979637,True,True
ISOTÃ“NICOS REGULAR,4987607137,True,True
ISOTÃ“NICOS REGULAR,4987601907,True,True
ISOTÃ“NICOS REGULAR,5090076857,False,True
ISOTÃ“NICOS REGULAR,4987862887,True,True
ISOTÃ“NICOS REGULAR,4987854197,True,False
ISOTÃ“NICOS REGULAR,5089466587,True,True
ISOTÃ“NICOS REGULAR,4991367797,True,True
ISOTÃ“NICOS REGULAR,4991367707,True,True
ISOTÃ“NICOS REGULAR,4987585747,True,True
ISOTÃ“NICOS REGULAR,4987726177,True,True
ISOTÃ“NICOS REGULAR,5089666237,True,True
ISOTÃ“NICOS REGULAR,4987703817,True,True
ISOTÃ“NICOS REGULAR,4987695427,True,True
ISOTÃ“NICOS REGULAR,4987687607,True,True
ISOTÃ“NICOS REGULAR,4987561037,True,True
ISOTÃ“NICOS REGULAR,5090897707,True,False
ISOTÃ“NICOS REGULAR,4987586967,True,True
ISOTÃ“NICOS REGULAR,5088015907,False,True
ISOTÃ“NICOS REGULAR,5088015887,True,False
ISOTÃ“NICOS REGULAR,4987739207,True,True
ISOTÃ“NICOS REGULAR,4987729137,True,True
ISOTÃ“NICOS REGULAR,4987753227,True,True
ISOTÃ“NICOS REGULAR,4987564767,True,True
ISOTÃ“NICOS REGULAR,4987563417,True,True
ISOTÃ“NICOS REGULAR,5089623217,True,True
ISOTÃ“NICOS REGULAR,4987598327,True,True
ISOTÃ“NICOS REGULAR,4987624037,True,True
ISOTÃ“NICOS REGULAR,5090901317,True,True
ISOTÃ“NICOS REGULAR,5089846717,True,True
ISOTÃ“NICOS REGULAR,4987889037,True,True
ISOTÃ“NICOS REGULAR,5088018407,True,True
ISOTÃ“NICOS REGULAR,4987753047,True,True
ISOTÃ“NICOS REGULAR,4987724577,True,True
ISOTÃ“NICOS REGULAR,4988363817,True,False
ISOTÃ“NICOS REGULAR,4987643677,True,False
ISOTÃ“NICOS REGULAR,4987640777,True,False
ISOTÃ“NICOS REGULAR,4987615787,False,True
ISOTÃ“NICOS REGULAR,4987594947,True,True
ISOTÃ“NICOS REGULAR,4987592997,False,True
ISOTÃ“NICOS REGULAR,5089797137,True,True
ISOTÃ“NICOS REGULAR,4987731167,True,True
ISOTÃ“NICOS REGULAR,5091209147,True,True
ISOTÃ“NICOS REGULAR,4989338387,False,True
ISOTÃ“NICOS REGULAR,5087985777,True,True
ISOTÃ“NICOS REGULAR,5089727607,False,True
ISOTÃ“NICOS REGULAR,4987959117,True,True
ISOTÃ“NICOS REGULAR,4987581787,True,True
ISOTÃ“NICOS REGULAR,4987574217,True,False
ISOTÃ“NICOS REGULAR,4987573087,True,True
ISOTÃ“NICOS REGULAR,5090632377,True,True
ISOTÃ“NICOS REGULAR,4987724477,True,True
ISOTÃ“NICOS REGULAR,4987716547,True,True
ISOTÃ“NICOS REGULAR,4987715617,False,True
ISOTÃ“NICOS REGULAR,4987712637,True,True
ISOTÃ“NICOS REGULAR,5088020967,True,True
ISOTÃ“NICOS REGULAR,4991489767,True,False
ISOTÃ“NICOS REGULAR,4987721167,True,True
ISOTÃ“NICOS REGULAR,5088024097,False,True
ISOTÃ“NICOS REGULAR,4988343457,True,False
ISOTÃ“NICOS REGULAR,4987760367,True,True
ISOTÃ“NICOS REGULAR,4987760297,True,False
ISOTÃ“NICOS REGULAR,4987733547,True,True
ISOTÃ“NICOS REGULAR,5091387417,True,True
ISOTÃ“NICOS REGULAR,4987608467,False,True
ISOTÃ“NICOS REGULAR,5090852807,True,True
ISOTÃ“NICOS REGULAR,4987582197,True,True
ISOTÃ“NICOS REGULAR,4987578677,True,True
ISOTÃ“NICOS REGULAR,5091519787,True,False
ISOTÃ“NICOS REGULAR,5090425387,True,True
ISOTÃ“NICOS REGULAR,5089783407,True,False
ISOTÃ“NICOS REGULAR,4987953207,True,True
ISOTÃ“NICOS REGULAR,4987953067,False,True
ISOTÃ“NICOS REGULAR,5090794997,True,True
ISOTÃ“NICOS REGULAR,4987866987,True,True
ISOTÃ“NICOS REGULAR,4987796557,True,True
ISOTÃ“NICOS REGULAR,5090648907,True,False
ISOTÃ“NICOS REGULAR,4987628357,True,False
ISOTÃ“NICOS REGULAR,4987598527,False,True
ISOTÃ“NICOS REGULAR,4987588457,True,True
ISOTÃ“NICOS REGULAR,4987588867,True,True
ISOTÃ“NICOS REGULAR,4987957597,True,False
ISOTÃ“NICOS REGULAR,4987957357,True,True
ISOTÃ“NICOS REGULAR,4987951947,False,True
ISOTÃ“NICOS REGULAR,4987942627,True,False
ISOTÃ“NICOS REGULAR,4987839707,True,False
ISOTÃ“NICOS REGULAR,4987816117,True,True
ISOTÃ“NICOS REGULAR,4987804217,True,False
ISOTÃ“NICOS REGULAR,4987687757,True,True
ISOTÃ“NICOS REGULAR,4987745247,True,False
ISOTÃ“NICOS REGULAR,4987718707,True,True
ISOTÃ“NICOS REGULAR,4987682097,True,True
ISOTÃ“NICOS REGULAR,4987666767,True,True
ISOTÃ“NICOS REGULAR,4987879657,True,True
ISOTÃ“NICOS REGULAR,4987878087,True,True
ISOTÃ“NICOS REGULAR,5090418967,True,True
ISOTÃ“NICOS REGULAR,5088756207,True,True
ISOTÃ“NICOS REGULAR,4987718487,True,True
ISOTÃ“NICOS REGULAR,5090206887,True,True
ISOTÃ“NICOS REGULAR,5089455877,True,True
ISOTÃ“NICOS REGULAR,4987616227,True,False
ISOTÃ“NICOS REGULAR,4987589637,False,True
ISOTÃ“NICOS REGULAR,4991438447,True,True
ISOTÃ“NICOS REGULAR,4987562497,True,True
ISOTÃ“NICOS REGULAR,4987823757,True,True
