det_segment,customer,canibalizador,canibalizado
JUGOS Y NÃ‰CTARES,5089851537,True,True
JUGOS Y NÃ‰CTARES,4987886287,True,True
JUGOS Y NÃ‰CTARES,4987881547,True,False
JUGOS Y NÃ‰CTARES,5088031937,False,True
JUGOS Y NÃ‰CTARES,4987663397,True,True
JUGOS Y NÃ‰CTARES,5091187037,False,True
JUGOS Y NÃ‰CTARES,5088061087,True,True
JUGOS Y NÃ‰CTARES,5088060747,True,True
JUGOS Y NÃ‰CTARES,4987759937,True,True
JUGOS Y NÃ‰CTARES,4987951627,False,True
JUGOS Y NÃ‰CTARES,4987946847,False,True
JUGOS Y NÃ‰CTARES,4987942967,True,True
JUGOS Y NÃ‰CTARES,5091689137,True,True
JUGOS Y NÃ‰CTARES,5090343407,True,True
JUGOS Y NÃ‰CTARES,4987862697,True,True
JUGOS Y NÃ‰CTARES,5087981837,True,True
JUGOS Y NÃ‰CTARES,5090648907,True,True
JUGOS Y NÃ‰CTARES,4987628357,False,True
JUGOS Y NÃ‰CTARES,4987588457,True,False
JUGOS Y NÃ‰CTARES,4991476077,True,True
JUGOS Y NÃ‰CTARES,4987884547,False,True
JUGOS Y NÃ‰CTARES,4987877847,True,True
JUGOS Y NÃ‰CTARES,5088687687,True,True
JUGOS Y NÃ‰CTARES,5089583997,True,True
JUGOS Y NÃ‰CTARES,4989341207,True,True
JUGOS Y NÃ‰CTARES,5090445577,True,True
JUGOS Y NÃ‰CTARES,5091519787,False,True
JUGOS Y NÃ‰CTARES,4987953207,True,True
JUGOS Y NÃ‰CTARES,4987953067,True,True
JUGOS Y NÃ‰CTARES,4991403597,True,True
JUGOS Y NÃ‰CTARES,4987868547,True,True
JUGOS Y NÃ‰CTARES,4987866637,True,True
JUGOS Y NÃ‰CTARES,4987586617,True,True
JUGOS Y NÃ‰CTARES,5087977567,True,False
JUGOS Y NÃ‰CTARES,4987586967,False,True
JUGOS Y NÃ‰CTARES,4987864257,True,False
JUGOS Y NÃ‰CTARES,5091637947,True,True
JUGOS Y NÃ‰CTARES,5090039737,True,True
JUGOS Y NÃ‰CTARES,4991615937,False,True
JUGOS Y NÃ‰CTARES,4991207127,True,True
JUGOS Y NÃ‰CTARES,4987725497,True,True
JUGOS Y NÃ‰CTARES,5089098947,True,True
JUGOS Y NÃ‰CTARES,5089674207,True,True
JUGOS Y NÃ‰CTARES,4987678247,True,True
JUGOS Y NÃ‰CTARES,5091637837,True,True
JUGOS Y NÃ‰CTARES,5088022237,True,True
JUGOS Y NÃ‰CTARES,4987725277,True,True
JUGOS Y NÃ‰CTARES,5088812377,True,True
JUGOS Y NÃ‰CTARES,5088036027,True,True
JUGOS Y NÃ‰CTARES,4987711467,True,True
JUGOS Y NÃ‰CTARES,5090636407,True,False
JUGOS Y NÃ‰CTARES,5089230797,True,True
JUGOS Y NÃ‰CTARES,4987594947,True,False
JUGOS Y NÃ‰CTARES,5091209147,False,True
JUGOS Y NÃ‰CTARES,5088064877,True,True
JUGOS Y NÃ‰CTARES,4991395027,True,True
JUGOS Y NÃ‰CTARES,4987957597,True,True
JUGOS Y NÃ‰CTARES,4987957357,True,True
JUGOS Y NÃ‰CTARES,4987833287,True,True
JUGOS Y NÃ‰CTARES,4988363817,True,True
JUGOS Y NÃ‰CTARES,4987643677,True,False
JUGOS Y NÃ‰CTARES,4987615787,False,True
JUGOS Y NÃ‰CTARES,4987757407,True,True
JUGOS Y NÃ‰CTARES,4987744627,True,True
JUGOS Y NÃ‰CTARES,4987717227,True,True
JUGOS Y NÃ‰CTARES,5090311657,True,False
JUGOS Y NÃ‰CTARES,5087981637,True,True
JUGOS Y NÃ‰CTARES,4987632977,True,False
JUGOS Y NÃ‰CTARES,4987616457,True,True
JUGOS Y NÃ‰CTARES,4987616237,True,False
JUGOS Y NÃ‰CTARES,4987606987,False,True
JUGOS Y NÃ‰CTARES,4987589527,True,False
JUGOS Y NÃ‰CTARES,4987723657,False,True
JUGOS Y NÃ‰CTARES,5090980037,True,True
JUGOS Y NÃ‰CTARES,5089823887,True,True
JUGOS Y NÃ‰CTARES,5088023977,True,True
JUGOS Y NÃ‰CTARES,5088022717,True,True
JUGOS Y NÃ‰CTARES,4987745667,False,True
JUGOS Y NÃ‰CTARES,4987745247,True,True
JUGOS Y NÃ‰CTARES,5087996437,True,True
