det_segment,customer,canibalizador,canibalizado
LECHE UHT ESPECIALIZADA,5090897377,True,True
LECHE UHT ESPECIALIZADA,5088078787,False,True
LECHE UHT ESPECIALIZADA,5088030337,True,True
LECHE UHT ESPECIALIZADA,5089178947,True,False
LECHE UHT ESPECIALIZADA,4987632337,True,True
LECHE UHT ESPECIALIZADA,4987600207,True,True
LECHE UHT ESPECIALIZADA,4987584807,True,True
LECHE UHT ESPECIALIZADA,5090539927,True,True
LECHE UHT ESPECIALIZADA,5088094467,True,True
LECHE UHT ESPECIALIZADA,5089476947,False,True
LECHE UHT ESPECIALIZADA,4987957357,True,True
LECHE UHT ESPECIALIZADA,4987839707,True,False
LECHE UHT ESPECIALIZADA,4987699937,True,True
LECHE UHT ESPECIALIZADA,4987677207,True,True
LECHE UHT ESPECIALIZADA,5091580297,True,True
LECHE UHT ESPECIALIZADA,5089879417,True,True
LECHE UHT ESPECIALIZADA,5088023957,True,True
LECHE UHT ESPECIALIZADA,5087992657,False,True
LECHE UHT ESPECIALIZADA,4991311867,True,True
LECHE UHT ESPECIALIZADA,4987711507,True,True
LECHE UHT ESPECIALIZADA,4987659077,True,True
LECHE UHT ESPECIALIZADA,5089961677,True,True
LECHE UHT ESPECIALIZADA,5088073367,False,True
LECHE UHT ESPECIALIZADA,5088056077,True,True
LECHE UHT ESPECIALIZADA,4987670127,True,True
LECHE UHT ESPECIALIZADA,5088056357,True,True
LECHE UHT ESPECIALIZADA,5088052787,True,True
LECHE UHT ESPECIALIZADA,5088048837,True,True
LECHE UHT ESPECIALIZADA,5087971897,True,True
LECHE UHT ESPECIALIZADA,4987589817,True,True
LECHE UHT ESPECIALIZADA,4987587107,True,True
LECHE UHT ESPECIALIZADA,4987580527,True,True
LECHE UHT ESPECIALIZADA,4987567157,True,False
LECHE UHT ESPECIALIZADA,5087992677,True,True
LECHE UHT ESPECIALIZADA,5088002257,True,True
LECHE UHT ESPECIALIZADA,4987717547,True,True
LECHE UHT ESPECIALIZADA,5091024047,True,False
LECHE UHT ESPECIALIZADA,5088100057,True,True
LECHE UHT ESPECIALIZADA,5088098457,False,True
LECHE UHT ESPECIALIZADA,5088078257,True,True
LECHE UHT ESPECIALIZADA,5088056177,True,True
LECHE UHT ESPECIALIZADA,5088035547,True,True
LECHE UHT ESPECIALIZADA,4988346187,True,True
LECHE UHT ESPECIALIZADA,4987768057,True,True
LECHE UHT ESPECIALIZADA,5088107677,True,True
LECHE UHT ESPECIALIZADA,5088106317,True,False
LECHE UHT ESPECIALIZADA,5087970427,True,True
LECHE UHT ESPECIALIZADA,4987959117,True,True
