det_segment,customer,canibalizador,canibalizado
LECHE UHT REGULAR,5088092677,True,True
LECHE UHT REGULAR,5087975037,True,True
LECHE UHT REGULAR,4987603017,True,True
LECHE UHT REGULAR,4987587107,True,True
LECHE UHT REGULAR,4987566617,True,True
LECHE UHT REGULAR,4988369507,True,True
LECHE UHT REGULAR,4988343117,True,True
LECHE UHT REGULAR,5090898237,True,True
LECHE UHT REGULAR,4990690807,True,True
LECHE UHT REGULAR,5090323387,True,True
LECHE UHT REGULAR,5089947397,True,True
LECHE UHT REGULAR,5087980717,True,True
LECHE UHT REGULAR,5087980707,True,True
LECHE UHT REGULAR,5087979107,True,True
LECHE UHT REGULAR,5087979097,True,True
LECHE UHT REGULAR,4987625717,True,True
LECHE UHT REGULAR,4987598167,False,True
LECHE UHT REGULAR,4987597927,False,True
LECHE UHT REGULAR,4987595787,False,True
LECHE UHT REGULAR,4987590167,True,True
LECHE UHT REGULAR,4987589637,True,True
LECHE UHT REGULAR,5088076087,False,True
LECHE UHT REGULAR,5088029797,True,True
LECHE UHT REGULAR,5087974807,True,False
LECHE UHT REGULAR,5091208737,True,True
LECHE UHT REGULAR,5091207837,True,False
LECHE UHT REGULAR,5090725707,True,True
LECHE UHT REGULAR,4987678817,True,True
LECHE UHT REGULAR,4987684277,True,True
LECHE UHT REGULAR,4987674137,True,True
LECHE UHT REGULAR,4987681047,True,True
LECHE UHT REGULAR,4987672237,True,True
LECHE UHT REGULAR,5091165987,True,True
LECHE UHT REGULAR,5089685617,True,True
LECHE UHT REGULAR,5089490397,True,True
LECHE UHT REGULAR,4991516097,True,True
LECHE UHT REGULAR,4991249377,False,True
LECHE UHT REGULAR,4987721487,True,True
LECHE UHT REGULAR,4987717237,True,True
LECHE UHT REGULAR,5088036577,True,True
LECHE UHT REGULAR,4987739537,True,True
LECHE UHT REGULAR,4987720417,True,True
LECHE UHT REGULAR,5091614027,True,True
LECHE UHT REGULAR,4987847427,True,True
LECHE UHT REGULAR,4987563417,True,True
LECHE UHT REGULAR,5090479647,True,True
LECHE UHT REGULAR,5089691907,True,True
LECHE UHT REGULAR,5088807357,True,True
LECHE UHT REGULAR,5088021667,True,True
LECHE UHT REGULAR,5088020437,True,True
LECHE UHT REGULAR,4987756447,True,False
LECHE UHT REGULAR,4987743477,True,True
LECHE UHT REGULAR,4987731917,True,True
LECHE UHT REGULAR,4987730157,True,True
LECHE UHT REGULAR,4987723437,True,True
LECHE UHT REGULAR,4987719987,True,False
LECHE UHT REGULAR,5091149067,True,True
LECHE UHT REGULAR,5091115437,True,True
LECHE UHT REGULAR,5088081457,True,True
LECHE UHT REGULAR,5088079497,True,True
LECHE UHT REGULAR,5087982347,True,True
LECHE UHT REGULAR,5091440507,True,True
LECHE UHT REGULAR,5087979897,True,True
LECHE UHT REGULAR,4987637527,True,False
LECHE UHT REGULAR,4987607257,True,True
LECHE UHT REGULAR,4987606747,True,False
LECHE UHT REGULAR,4987603767,True,True
LECHE UHT REGULAR,4987589397,True,False
LECHE UHT REGULAR,4987586697,True,True
LECHE UHT REGULAR,4987585557,True,True
LECHE UHT REGULAR,4987572757,True,True
LECHE UHT REGULAR,4991187727,True,True
LECHE UHT REGULAR,4987765627,True,True
LECHE UHT REGULAR,4987739747,True,True
LECHE UHT REGULAR,4987719847,True,True
LECHE UHT REGULAR,4991288387,True,True
LECHE UHT REGULAR,5089474977,True,False
LECHE UHT REGULAR,5088107287,True,True
LECHE UHT REGULAR,5088107207,True,True
LECHE UHT REGULAR,4987690177,True,True
LECHE UHT REGULAR,5090772447,True,True
LECHE UHT REGULAR,5089555337,True,True
LECHE UHT REGULAR,5088992937,True,False
LECHE UHT REGULAR,5088076217,False,True
LECHE UHT REGULAR,4991581887,True,True
LECHE UHT REGULAR,4991486887,False,True
LECHE UHT REGULAR,4991393367,True,True
LECHE UHT REGULAR,4987866637,False,True
LECHE UHT REGULAR,4987865087,False,True
LECHE UHT REGULAR,4987854197,True,True
LECHE UHT REGULAR,4987575957,True,True
LECHE UHT REGULAR,5088074657,False,True
LECHE UHT REGULAR,4987707187,True,True
LECHE UHT REGULAR,4987608307,True,True
LECHE UHT REGULAR,5089548997,True,True
LECHE UHT REGULAR,4991556797,True,True
LECHE UHT REGULAR,4988622597,True,True
LECHE UHT REGULAR,4987581657,True,True
LECHE UHT REGULAR,4987581547,True,True
LECHE UHT REGULAR,4987578807,True,True
LECHE UHT REGULAR,4987577267,True,True
LECHE UHT REGULAR,4987575847,True,True
LECHE UHT REGULAR,4987571617,True,True
LECHE UHT REGULAR,4987563987,True,True
LECHE UHT REGULAR,4987643677,False,True
LECHE UHT REGULAR,4987640777,True,True
LECHE UHT REGULAR,4987615787,True,True
