det_segment,customer,canibalizador,canibalizado
LECHE UHT SABORIZADA,5091508977,True,True
LECHE UHT SABORIZADA,5089788567,True,True
LECHE UHT SABORIZADA,4987727707,True,True
LECHE UHT SABORIZADA,4987711507,True,True
LECHE UHT SABORIZADA,4987679727,True,True
LECHE UHT SABORIZADA,4987886287,False,True
LECHE UHT SABORIZADA,4987881547,False,True
LECHE UHT SABORIZADA,5090209897,True,False
LECHE UHT SABORIZADA,4987596527,True,True
LECHE UHT SABORIZADA,4987591227,True,True
LECHE UHT SABORIZADA,4987589637,True,True
LECHE UHT SABORIZADA,4987865797,False,True
LECHE UHT SABORIZADA,4987864427,True,True
LECHE UHT SABORIZADA,5090471297,True,True
LECHE UHT SABORIZADA,5089757877,True,True
LECHE UHT SABORIZADA,5088022577,True,True
LECHE UHT SABORIZADA,4987678817,True,True
LECHE UHT SABORIZADA,4987775567,True,True
LECHE UHT SABORIZADA,5091200507,True,True
LECHE UHT SABORIZADA,4987576257,True,True
LECHE UHT SABORIZADA,5091277637,False,True
LECHE UHT SABORIZADA,5091186967,True,True
LECHE UHT SABORIZADA,5090392997,True,True
LECHE UHT SABORIZADA,5088004427,True,True
LECHE UHT SABORIZADA,4987701017,True,True
LECHE UHT SABORIZADA,5088022237,True,True
LECHE UHT SABORIZADA,4987889337,True,True
LECHE UHT SABORIZADA,4987877247,True,True
LECHE UHT SABORIZADA,5089682777,True,True
LECHE UHT SABORIZADA,4991520757,True,True
LECHE UHT SABORIZADA,4987743687,True,True
LECHE UHT SABORIZADA,4987736917,True,True
LECHE UHT SABORIZADA,5088082227,False,True
LECHE UHT SABORIZADA,5088081457,True,False
LECHE UHT SABORIZADA,4987718487,True,True
LECHE UHT SABORIZADA,4987711667,True,True
LECHE UHT SABORIZADA,4987708997,True,True
LECHE UHT SABORIZADA,5089726697,True,True
LECHE UHT SABORIZADA,5089649057,True,False
LECHE UHT SABORIZADA,5088070777,True,False
LECHE UHT SABORIZADA,5088067547,True,True
LECHE UHT SABORIZADA,5087985877,True,True
LECHE UHT SABORIZADA,4987946847,True,False
LECHE UHT SABORIZADA,4987942687,True,True
LECHE UHT SABORIZADA,4987632337,True,True
LECHE UHT SABORIZADA,4987607877,True,True
LECHE UHT SABORIZADA,4987603497,True,True
LECHE UHT SABORIZADA,4987731297,True,True
LECHE UHT SABORIZADA,4987683937,True,True
LECHE UHT SABORIZADA,5091384037,True,True
LECHE UHT SABORIZADA,5091455787,True,True
LECHE UHT SABORIZADA,4987574057,True,True
LECHE UHT SABORIZADA,5088764037,True,True
LECHE UHT SABORIZADA,5089823887,True,True
LECHE UHT SABORIZADA,5088022717,True,True
LECHE UHT SABORIZADA,4987745667,True,True
LECHE UHT SABORIZADA,4987745247,True,True
LECHE UHT SABORIZADA,5088089647,False,True
LECHE UHT SABORIZADA,5088087967,False,True
LECHE UHT SABORIZADA,5091781767,True,True
LECHE UHT SABORIZADA,4987586067,True,True
LECHE UHT SABORIZADA,5090452907,True,True
LECHE UHT SABORIZADA,5090183877,True,True
LECHE UHT SABORIZADA,4987707447,True,True
LECHE UHT SABORIZADA,4987691617,True,True
LECHE UHT SABORIZADA,4987836747,True,True
LECHE UHT SABORIZADA,4987824467,True,True
LECHE UHT SABORIZADA,4987796707,True,True
LECHE UHT SABORIZADA,5091707377,True,True
LECHE UHT SABORIZADA,5089555367,True,True
LECHE UHT SABORIZADA,5090725707,True,True
LECHE UHT SABORIZADA,4987718707,True,True
LECHE UHT SABORIZADA,5091558717,True,True
LECHE UHT SABORIZADA,5088075167,False,True
LECHE UHT SABORIZADA,4987877617,True,True
LECHE UHT SABORIZADA,4988612937,True,True
LECHE UHT SABORIZADA,4987785577,True,True
LECHE UHT SABORIZADA,5088107417,True,False
LECHE UHT SABORIZADA,5088105807,True,True
LECHE UHT SABORIZADA,4987592997,True,True
LECHE UHT SABORIZADA,4987664087,True,True
LECHE UHT SABORIZADA,4987619967,False,True
LECHE UHT SABORIZADA,5090262357,True,True
LECHE UHT SABORIZADA,4987712637,True,True
LECHE UHT SABORIZADA,5090428647,True,True
LECHE UHT SABORIZADA,5088797947,True,True
LECHE UHT SABORIZADA,5088040647,True,True
LECHE UHT SABORIZADA,5088035457,False,True
LECHE UHT SABORIZADA,5089476947,True,True
LECHE UHT SABORIZADA,5088107547,True,True
LECHE UHT SABORIZADA,4991395027,True,True
LECHE UHT SABORIZADA,4987957597,True,True
LECHE UHT SABORIZADA,4987848857,True,True
LECHE UHT SABORIZADA,4987839707,True,True
LECHE UHT SABORIZADA,4987578807,True,True
LECHE UHT SABORIZADA,4987881907,True,False
LECHE UHT SABORIZADA,5091637947,True,False
LECHE UHT SABORIZADA,5089796997,True,True
LECHE UHT SABORIZADA,5090567937,True,True
LECHE UHT SABORIZADA,4987700387,True,True
LECHE UHT SABORIZADA,5090648907,False,True
LECHE UHT SABORIZADA,5090636587,True,False
LECHE UHT SABORIZADA,4987628357,True,False
LECHE UHT SABORIZADA,4987598527,True,False
LECHE UHT SABORIZADA,5087981637,True,True
LECHE UHT SABORIZADA,4987616237,True,True
LECHE UHT SABORIZADA,4987608597,True,True
LECHE UHT SABORIZADA,4987640777,True,False
LECHE UHT SABORIZADA,4987615787,False,True
LECHE UHT SABORIZADA,5091519787,True,False
LECHE UHT SABORIZADA,5089783407,True,False
LECHE UHT SABORIZADA,4987953207,True,True
LECHE UHT SABORIZADA,4987952917,True,True
LECHE UHT SABORIZADA,4987575177,True,True
LECHE UHT SABORIZADA,5091611747,True,True
LECHE UHT SABORIZADA,5088992937,True,True
LECHE UHT SABORIZADA,4987881897,True,True
LECHE UHT SABORIZADA,5089547677,True,True
LECHE UHT SABORIZADA,5088034447,True,True
LECHE UHT SABORIZADA,5090241847,True,True
LECHE UHT SABORIZADA,5090516447,True,True
