det_segment,customer,canibalizador,canibalizado
SABORES LIGHT,5090670717,True,True
SABORES LIGHT,4987590107,True,True
SABORES LIGHT,5087977007,True,True
SABORES LIGHT,5088015727,True,True
SABORES LIGHT,4987724857,False,True
SABORES LIGHT,4987667467,True,True
SABORES LIGHT,4987616417,True,True
SABORES LIGHT,4987616237,True,True
SABORES LIGHT,5091760897,False,True
SABORES LIGHT,4987613677,True,True
SABORES LIGHT,4987597807,True,True
SABORES LIGHT,4987568857,True,True
SABORES LIGHT,4987570747,True,True
SABORES LIGHT,4987748587,True,True
SABORES LIGHT,4987746177,True,True
SABORES LIGHT,4987738577,True,True
SABORES LIGHT,4987702437,True,True
