det_segment,customer,canibalizador,canibalizado
SABORES REGULAR,4987718437,False,True
SABORES REGULAR,4987694277,True,True
SABORES REGULAR,4987753047,True,True
SABORES REGULAR,4987588727,False,True
SABORES REGULAR,5088015887,True,True
SABORES REGULAR,5089752977,True,True
SABORES REGULAR,4987715777,True,False
SABORES REGULAR,5087978997,True,True
SABORES REGULAR,4987960217,True,True
SABORES REGULAR,4987884527,True,True
SABORES REGULAR,4987563977,True,True
SABORES REGULAR,5090772447,True,True
SABORES REGULAR,5089726697,True,True
SABORES REGULAR,4987591357,True,True
SABORES REGULAR,4987590927,True,False
SABORES REGULAR,4987864257,True,False
SABORES REGULAR,4988363817,True,False
SABORES REGULAR,4987643677,False,True
SABORES REGULAR,4987640777,True,True
SABORES REGULAR,4987615787,True,True
SABORES REGULAR,4991594587,False,True
SABORES REGULAR,5088695527,True,True
SABORES REGULAR,5090944077,True,True
SABORES REGULAR,5087976767,True,True
SABORES REGULAR,5088036937,True,True
SABORES REGULAR,5091209147,True,False
SABORES REGULAR,4987892267,True,False
SABORES REGULAR,4987886287,False,True
SABORES REGULAR,4987881547,True,True
SABORES REGULAR,5090648907,True,True
SABORES REGULAR,4987628357,True,False
SABORES REGULAR,4987598527,True,True
SABORES REGULAR,4987589527,True,False
SABORES REGULAR,4987588077,True,True
SABORES REGULAR,4987717227,True,True
SABORES REGULAR,4987953207,True,True
SABORES REGULAR,4987953067,False,True
SABORES REGULAR,4987952917,False,True
SABORES REGULAR,5090285827,False,True
SABORES REGULAR,4991250937,False,True
SABORES REGULAR,4987593017,True,True
SABORES REGULAR,5087981637,True,False
SABORES REGULAR,4987645367,True,False
SABORES REGULAR,4987632977,True,True
SABORES REGULAR,4987616447,False,True
SABORES REGULAR,4987608467,True,True
SABORES REGULAR,4991207127,True,True
SABORES REGULAR,4987728157,True,True
SABORES REGULAR,5090664077,True,False
SABORES REGULAR,4987632557,True,True
SABORES REGULAR,4987597237,True,True
SABORES REGULAR,4987569497,True,True
SABORES REGULAR,5091725617,True,True
SABORES REGULAR,5088779997,True,True
SABORES REGULAR,4991403597,True,True
SABORES REGULAR,4987862887,True,True
SABORES REGULAR,4987854197,True,True
SABORES REGULAR,5090849807,True,True
SABORES REGULAR,5089230797,True,True
SABORES REGULAR,4987760367,True,True
SABORES REGULAR,4987732827,True,True
SABORES REGULAR,5087977567,False,True
SABORES REGULAR,4987586967,True,False
SABORES REGULAR,4987951947,True,True
SABORES REGULAR,4987942967,True,True
SABORES REGULAR,5088017987,True,True
SABORES REGULAR,4987745667,True,False
SABORES REGULAR,4987736547,True,False
SABORES REGULAR,5089558717,True,True
SABORES REGULAR,5088107407,True,True
SABORES REGULAR,5087985877,True,True
SABORES REGULAR,4987577027,True,True
SABORES REGULAR,4987576897,True,False
SABORES REGULAR,4987566617,True,True
SABORES REGULAR,4987762057,True,True
SABORES REGULAR,4987738937,True,True
